Date,Indian rupee (INR)
29-10-1981,3834.57
30-10-1981,3876.38
02-11-1981,3923.41
03-11-1981,3909.68
04-11-1981,3939.91
05-11-1981,3933.28
06-11-1981,3925
09-11-1981,3908.14
10-11-1981,3896.83
11-11-1981,3757.7
12-11-1981,3721.46
13-11-1981,3753.99
16-11-1981,3707.61
17-11-1981,3621.4
18-11-1981,3630.18
19-11-1981,3648.4
20-11-1981,3669.22
23-11-1981,3613.8
24-11-1981,3604.75
25-11-1981,3695.14
26-11-1981,3717.38
27-11-1981,3710.01
30-11-1981,3814.95
01-12-1981,3727.01
02-12-1981,3698.32
03-12-1981,3842.72
04-12-1981,3869.99
07-12-1981,3831.52
08-12-1981,3835.3
09-12-1981,3720.95
10-12-1981,3747.97
11-12-1981,3890.8
14-12-1981,3828.26
15-12-1981,3736.94
16-12-1981,3776.34
17-12-1981,3776.84
18-12-1981,3765.51
21-12-1981,3812.14
22-12-1981,3692.38
23-12-1981,3667.81
24-12-1981,3678.75
25-12-1981,3678.75
28-12-1981,3678.75
29-12-1981,3612.39
30-12-1981,3598.47
31-12-1981,3625.14
01-01-1982,3625.14
04-01-1982,3620.31
05-01-1982,3656.48
06-01-1982,3655.98
07-01-1982,3610.74
08-01-1982,3629.47
11-01-1982,3615.58
12-01-1982,3573.64
13-01-1982,3559.68
14-01-1982,3391.07
15-01-1982,3439.07
18-01-1982,3343.6
19-01-1982,3425.99
20-01-1982,3394.84
21-01-1982,3433.19
22-01-1982,3458.93
25-01-1982,3422.15
26-01-1982,3395.9
27-01-1982,3492.23
28-01-1982,3474.72
29-01-1982,3546.03
01-02-1982,3501.75
02-02-1982,3433.3
03-02-1982,3465.57
04-02-1982,3491.99
05-02-1982,3544.68
08-02-1982,3481.97
09-02-1982,3466.41
10-02-1982,3498.15
11-02-1982,3476.5
12-02-1982,3485.26
15-02-1982,3451.54
16-02-1982,3469.69
17-02-1982,3473.27
18-02-1982,3379.94
19-02-1982,3396.53
22-02-1982,3324.2
23-02-1982,3338.98
24-02-1982,3359.27
25-02-1982,3396.09
26-02-1982,3373.88
01-03-1982,3322.13
02-03-1982,3366.03
03-03-1982,3294.97
04-03-1982,3198.4
05-03-1982,3129.17
08-03-1982,3116.02
09-03-1982,3019.77
10-03-1982,3079.82
11-03-1982,3091.85
12-03-1982,2994.42
15-03-1982,2915.71
16-03-1982,2983.05
17-03-1982,2908.07
18-03-1982,2986.12
19-03-1982,2945.78
22-03-1982,2952.38
23-03-1982,3036.23
24-03-1982,3092.03
25-03-1982,3053.99
26-03-1982,3003.82
29-03-1982,2976.02
30-03-1982,3033.97
31-03-1982,2987.61
01-04-1982,3036.67
02-04-1982,3047.78
05-04-1982,3154.75
06-04-1982,3268.13
07-04-1982,3324.15
08-04-1982,3278.37
09-04-1982,3278.37
12-04-1982,3278.37
13-04-1982,3293.86
14-04-1982,3436.49
15-04-1982,3394.93
16-04-1982,3408.1
19-04-1982,3334.72
20-04-1982,3244.55
21-04-1982,3239.23
22-04-1982,3229.51
